"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data PublicaçãoDOU";"Data Abertura";"Valor Licitação"
"000022019";"23184000022201982";"Objeto: Emissão de empenho estimativo em favor da Empresa Brasileira de Correios e Telégrafos para despesas com serviços de entrega em âmbito nacional e internacional de encomendas";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e Tecn";"158428";"INST.FED. ESPIRITO SANTO/CAMPUS IBATIBA";"IBATIBA";"01/01/1900";"";"2000,00"
"000032019";"03001003182201896";"Objeto: Pregão Eletrônico -  Prestação de serviço de outsourcing de impressão de modo contínuo a serem prestados nas dependências do IPEA no Rio de Janeiro - RJ, composto minimamente de:  1.1.1. Fornecimento de equipamentos em regime de comodato, novos, não remanufaturados, sem uso anterior, e em linha de produção conforme especificações contidas no item 7 do Termo de Referência  1.1.2. Instalação, configuração e assistência técnica dos equipamentos, com manutenção preventiva e corretiva, incluindo reposição de";"Pregão";"Evento de Resultado de Julgame";"25000";"Ministério da Economia";"61201";"Instituto de Pesquisa Econômica Aplicada";"113602";"INSTITUTO DE PESQUISA ECONOMICA APLICADA";"RIO DE JANEIRO";"31/01/2019";"12/02/2019";"309802,56"
"000022019";"72031016958201801";"Objeto: Aquisição de 50 (cinquenta) Pins (Botons bronze).";"Dispensa de Licitação";"Encerrado";"54000";"Ministério do Turismo";"54000";"Ministério do Turismo - Unidades com vínculo ";"540004";"COORD. GERAL DE RECURSOS LOGISTICOS - CGRL";"BRASILIA";"01/01/1900";"";"695,00"
"000022019";"21186.001014/2018";"Objeto: Pregão Eletrônico -  Prestação de serviços de manutenção preventiva e corretiva em grupos geradores e transformadores da Embrapa/CNPMF, com fornecimento de insumos e de peças necessários à execução dos serviços";"Pregão";"Evento de Resultado de Julgame";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135014";"EMBRAPA/CNPMF";"CRUZ DAS ALMAS";"31/01/2019";"12/02/2019";"117994,99"
"000022019";"08780000019201946";"Objeto: Contratação dos serviços de fornecimento de água e esgoto na sede da CTL da FUNAI em Barcelos - AM.";"Inexigibilidade de Licitação";"Encerrado";"81000";"Ministério da Mulher, Família e Direitos Huma";"30202";"Fundação Nacional do Índio";"194008";"COORDENAÇÃO REGIONAL DO RIO NEGRO/AM";"SAO GABRIEL DA CACHOEIRA";"01/01/1900";"";"2400,00"
"000022019";"23411.001208/2017";"Objeto: Contratação de serviço de fornecimento de Energia Elétrica - Campus Pinhais para o exercício de 2019.";"Dispensa de Licitação";"Publicado";"26000";"Ministério da Educação";"26432";"Instituto Federal do Paraná";"158009";"INSTITUTO FEDERAL DO PARANA";"CURITIBA";"15/01/2019";"";"72000,00"
"180642019";"1353180064";"Objeto: Pregão Eletrônico -  Aquisição de óleos lubrificantes, conforme Lista de Preços, Anexo 2 do edital.";"Pregão";"Divulgado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"910810";"ELETROSUL CENTRAIS ELETRICAS S.A.";"FLORIANOPOLIS";"01/01/1900";"07/02/2019";"0,00"
"000102019";"1467 2019";"Objeto: Encargos mensais com o pagamento da DIEF - Declaração de Informações Econômico-Fiscais.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26239";"Universidade Federal do Pará";"153063";"UNIVERSIDADE FEDERAL DO PARA";"BELEM";"01/01/1900";"";"390,00"
"000012019";"23221001209201829";"Objeto: Contratação de serviço para manutenção de equipamento de som, para atender a solicitação do Chefe da Unidade de Apoio a Eventos Culturais e Esportivos do Instituto Federal Goiano   Campus Morrinhos.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26407";"Instituto Federal de Educação, Ciência e Tecn";"158300";"IF GOIANO - CAMPUS MORRINHOS";"MORRINHOS";"01/01/1900";"";"1000,00"
"000122019";"23108.941988/1801";"Objeto: Pregão Eletrônico -  Implantação de Registro de Preços para aquisições futuras de Materiais de consumo para Saúde;";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155019";"EBSERH HUJM-UFMT";"CUIABA";"21/01/2019";"04/02/2019";"0,00"
"000052019";"23117071427201818";"Objeto: Pregão Eletrônico -  Aquisição de material laboratorial, entre outros";"Pregão";"Publicado";"26000";"Ministério da Educação";"26274";"Fundação Universidade Federal de Uberlândia";"154043";"FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"UBERLANDIA";"23/01/2019";"04/02/2019";"52369,95"
"000062019";"08128000023201928";"Objeto: Contratação de serviços de abastecimento de água tratada e coleta de esgoto com objetivo de atender as demandas da Coordenação Regional do Litoral Sul e sua  Coordenação Técnica Local de José Boiteux-SC. Sendo que os serviços de saneamento são prestados pelos estados ou municípios, e compreendem o abastecimento de água, tratamento de esgoto, destinação das águas das chuvas nas cidades e lixo urbano, todos regulamentados pela Política Nacional de Saneamento (Lei. nº 11.445/2007).CASAN.";"Inexigibilidade de Licitação";"Publicado";"81000";"Ministério da Mulher, Família e Direitos Huma";"30202";"Fundação Nacional do Índio";"194047";"FUNAI-COORDENAçãO REGIONAL DO LITORAL SUL/SC";"SAO JOSE";"30/01/2019";"";"3203,65"
"000192019";"62102018/00050931";"Objeto: Pregão Eletrônico -  Contratação de empresa para prestação serviços de dosimetria pessoal com concessão de porta dosimetros";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"95420";"Estado de São Paulo";"925102";"PMSP-(HSPM)-HOSPITAL DO SERVIDOR PÚBLICO MUN";"Inválido";"01/01/1900";"30/01/2019";"0,00"
"000462018";"23537000707/18-09";"Objeto: Pregão Eletrônico -  Aquisição de sonda para Ecógrafo Oftálmológico para o Hospital das Clínicas da Universidade Federal de Minas Gerais (HC-UFMG) - EBSERH";"Pregão";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155021";"EBSERH HU-UFMG";"BELO HORIZONTE";"09/01/2019";"22/01/2019";"84020,00"
"000022019";"36796000004201944";"Objeto: Controle de pragas urbanas (desinsetização e desratização).";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"37202";"Instituto Nacional do Seguro Social";"510209";"GERÊNCIA EXECUTIVA CHAPECÓ";"CHAPECO";"01/01/1900";"";"2300,00"
"000012019";"23763010097201870";"Objeto: Pregão Eletrônico -  Aquisição de Equipamentos de Proteção Individual para atendimento das necessidades do HU-UFSCar";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155900";"EBSERH HU-UFSCAR";"SAO CARLOS";"11/01/2019";"24/01/2019";"7600,00"
"000062018";"25005002295201877";"Objeto: Pregão Eletrônico -  Contratação de Serviços de agenciamento de viagens, compreendo a emissão, remarcação, cancelamento de passagens aéreas nacionais para atendimento das necessidades do Núcleo do Ministério da Saúde em Goiás e demais órgãos participantes da presente licitação, conforme condições, quantidades, exigências e estimativas, estabelecidas no Edital da Licitação e seus anexos.";"Pregão - Registro de Preço";"Evento de Revogação Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250021";"NUCLEO ESTADUAL DO MS/GO";"GOIANIA";"10/01/2019";"30/01/2019";"0,00"
"000122019";"01207000032201970";"Objeto: Serviço de telefonia - TELEMAR NRES";"Dispensa de Licitação";"Encerrado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"240127";"CENTRO DE TECNOLOGIA MINERAL";"RIO DE JANEIRO";"01/01/1900";"";"11640,00"
"002982019";"298/18";"Objeto: Locação de um imóvel para atender as operações do Núcleo de Apoio de Natal-NANA, por um período de 01 (UM) ano.";"Dispensa de Licitação";"Encerrado";"32000";"Ministério de Minas e Energia";"29208";"Companhia de Pesquisa de Recursos Minerais";"495350";"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"RECIFE";"01/01/1900";"";"31176,00"
"000012019";"64104000441201944";"Objeto: Aquisição de Serviço de Manutenção e conservação de bens imóveis.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160156";"44 BATALHAO DE INFANTARIA MOTORIZADO";"CUIABA";"01/01/1900";"";"700,00"
"000012019";"23211000012201972";"Objeto: Pagamento de taxas de seguro obrigatório DPVAT dos veículos oficiais do IFMG - Campus Formiga.";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e Tecn";"158513";"INST.FED. MINAS GERAIS/CAMPUS FORMIGA";"FORMIGA";"01/01/1900";"";"89,59"
"000012019";"67011000054201935";"Objeto: Contratação de auditores independentes com registro no Instituto Brasileiro de Contabilidade - IBRACON, a fim de atestar os recolhimentos do FCVS, no exercício de 2018, de acordo com o Manual de Normas e Procedimentos Operacionais do FCVS.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52211";"Caixa de Financiamento Imobiliário da Aeronáu";"123001";"CAIXA FINANCIAMENTO IMOBILIÁRIO AERONÁUTICA";"RIO DE JANEIRO";"01/01/1900";"";"2000,00"
"000752018";"1142";"Objeto: Pregão Eletrônico -  Aquisição de Material Médico e Odontológico";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"97400";"Distrito Federal";"926637";"SERVIÇO SOCIAL DO COMÉRCIO - SESC";"Inválido";"01/01/1900";"21/01/2019";"0,00"
"000062019";"23038016646201814";"Objeto: Certificado Digital do tipo A1, com Serviço de Autoridade Certificadora (Certificação Digital - Assinatura de Código até 3 anos), para atender às necessidades da Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES).";"Dispensa de Licitação";"Evento de Retificação Publicad";"26000";"Ministério da Educação";"26291";"Fundação Coordenação de Aperfeiçoamento de Pe";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"BRASILIA";"16/01/2019";"";"1254,00"
"000012019";"23185001368201815";"Objeto: Manutenção corretiva de equipamento do laboratório.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e Tecn";"158892";"IFES/CAMPUS PIúMA";"PIUMA";"01/01/1900";"";"881,50"
"000142018";"2018/00383/168006";"Objeto: Contratação de empresa para o fornecimento anual de passagens para o transporte intermunicipal de empregado da IMBEL/FJF, considerando a rota Matias Barbosa / Juiz de Fora / Matias Barbosa - MG.";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168006";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FJF";"JUIZ DE FORA";"01/01/1900";"";"2985,40"
"000022019";"25028100004201928";"Objeto: Aquisição de Material Laboratorial através do projeto da Fundação Araucária.";"Dispensa de Licitação";"Encerrado";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254420";"FUNDAÇÃO OSWALDO CRUZ";"RIO DE JANEIRO";"01/01/1900";"";"3965,00"
"000012019";"23797000010201940";"Objeto: Prestação de serviços de publicação de matérias de caráter oficial, nas edições normais e extras do Diário Oficial da União, para o exercício de 2017, atendendo às necessidades de publicação dos atos do IFPB Câmpus Santa Rita.";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26417";"Instituto Federal de Educação, Ciência e Tecn";"155892";"INST.FED.DA PARAIBA-CAMPUS SANTA RITA";"SANTA RITA";"01/01/1900";"";"5000,00"
"000062019";"23411002437201536";"Objeto: Contratação de serviço de fornecimento de água e tratada de esgoto ao C. Jaguariaíva para o ano/exercício de 2019.";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26432";"Instituto Federal do Paraná";"158009";"INSTITUTO FEDERAL DO PARANA";"CURITIBA";"01/01/1900";"";"9600,00"
"123742019";"01300012374201893";"Objeto: Monitor digital";"Dispensa de Licitação";"Publicado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20501";"Conselho Nacional de Desenvolvimento Científi";"364102";"CONSELHO NAC DE DESENV CIENT E TECNOLOGICO";"BRASILIA";"29/01/2019";"";"21265,20"
"000032019";"23155000081201906";"Objeto: Aquisição de material (placas de forro de fibra mineral) para manutenção do Miniauditório do Ifes campus Linhares.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e Tecn";"158420";"INST.FED. ESPIRITO SANTO/CAMPUS LINHARES";"LINHARES";"01/01/1900";"";"1550,00"
"000902019";"PL.CSS.A.00090.19";"Objeto: Reator lâmpada vapor sódio com entrega em Foz do Iguaçu (PR)";"Dispensa de Licitação";"Encerrado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"926136";"CENTRO DE SERVIÇOS COMPARTILHADOS SÃO PAULO";"Inválido";"01/01/1900";"21/01/2019";"3700,00"
"000032019";"67221015284201823";"Objeto: Confecção de placas";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120014";"BASE AEREA DE FORTALEZA";"FORTALEZA";"01/01/1900";"";"4200,00"
"000012019";"64393001947201881";"Objeto: Pregão Eletrônico -  Contratação de empresa prestadora de Serviço de Telefonia Móvel celular digital (SMP), destinado a atender à 5ª Companhia de Comunicações Blindada, situado no DDD 41 (Curitiba-PR), sem dedicação exclusiva de mão de obra, com disponibilização de aparelhos celulares e chip em regime de comodato.";"Pregão - Registro de Preço";"Evento de Retificação Publicad";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160214";"5 COMPANHIA DE COMUNICACOES BLINDADA";"CURITIBA";"30/01/2019";"";"0,00"
"000062019";"23070001009201993";"Objeto: EXCLUSIVO MICRO EMPRESA/ EMPRESA DE PEQUENO PORTE em atendimento ao decreto 8.538/2015. Aquisição de material para instalação elétrica(fita brother 12 mm ; reator eletrônico para lâmpada ; cabo de rede cat6 ; curva 90 g eletroduto pvc e  curva 90 g galvanizado e abraçadeira eletroduto) O descritivo correto do item 1 é FITA BROTHER PT80 12MM - FITA ROTULADORA, BRANCA COM LETRAS PRETAS, 12MM X 8 MT, MODELO M TAPE M L231, COMPATÍVEL COM A IMPRESSORA PORTÁTIL BROTHER PT 80   O descritivo correto do item 2 é";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26235";"Universidade Federal de Goiás";"153054";"HOSPITAL DAS CLINICAS DA UFGO";"GOIANIA";"01/01/1900";"30/01/2019";"13571,72"
"000042019";"23411000501201978";"Objeto: Contratação de seguro predial para o Campus Pitanga.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26432";"Instituto Federal do Paraná";"158009";"INSTITUTO FEDERAL DO PARANA";"CURITIBA";"01/01/1900";"";"5448,34"
"000032019";"23076021794201802";"Objeto: Pregão Eletrônico -  Registro de preços, para eventual aquisição de MARAVALHA E RAÇÃO, conforme edital, para atender as necessidades da Universidade Federal de Pernambuco.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26242";"Universidade Federal de Pernambuco";"153080";"UNIVERSIDADE FEDERAL DE PERNAMBUCO";"RECIFE";"23/01/2019";"05/02/2019";"0,00"
"000012019";"Disp 01/2019";"Objeto: Aquisição de passagem p/ CMT OM participar simpósio Mnt, no 27 B Log, Curitiba - PR.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160421";"9 BATALHAO LOGISTICO";"SANTIAGO";"01/01/1900";"";"1007,92"
"000102019";"10";"Objeto: Pregão Eletrônico -  Registro de preços para tê de serviço integrado de pvc ou polipropileno.";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"95420";"Estado de São Paulo";"926641";"SERVIÇO AUTONOMO DE ÁGUA E ESGOTO DE JACAREI";"Inválido";"01/01/1900";"01/02/2019";"0,00"
"002802018";"DAN.A/PE280/2018";"Objeto: Pregão Eletrônico -  Prensa Enfardadeira de Metais";"Pregão";"Publicado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"910847";"ELETROBRAS TERMONUCLEAR S/A";"RIO DE JANEIRO";"31/01/2019";"13/02/2019";"0,00"
"080912019";"01300008091201847";"Objeto: O equipamento em importação é usado na purificação cromatográfica de proteínas para pesquisa científica e tecnológica.";"Dispensa de Licitação";"Publicado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20501";"Conselho Nacional de Desenvolvimento Científi";"364102";"CONSELHO NAC DE DESENV CIENT E TECNOLOGICO";"BRASILIA";"15/01/2019";"";"66316,58"
"000082019";"09013000019201908";"Objeto: Contratação de serviço de chaveiro";"Dispensa de Licitação";"Encerrado";"35000";"Ministério das Relações Exteriores";"35000";"Ministério das Relações Exteriores - Unidades";"240013";"DIVISÃO DE RECURSOS LOGÍSTICOS I";"BRASILIA";"01/01/1900";"";"13885,00"
"000022019";"13843720001201912";"Objeto: Pagamento da Taxa de Coleta de Lixo e de Limpeza Pública da IRF/São Sebastião, referente ao exercício de 2019.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170262";"DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"SAO JOSE DOS CAMPOS";"01/01/1900";"";"7971,02"
"000102019";"23081062393201825";"Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA LOCAÇÃO DE ESTANDE, INCLUINDO MONTAGEM E DESMONTAGEM PARA EXPODIRETO NA CIDADE DE NÃO ME TOQUE - RS";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26247";"Universidade Federal de Santa Maria";"153164";"UNIVERSIDADE FEDERAL DE SANTA MARIA";"SANTA MARIA";"22/01/2019";"01/02/2019";"39910,00"
"000092019";"9";"Objeto: Pregão Eletrônico -  Registro de preços para detergente líquido para roupas.";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"95420";"Estado de São Paulo";"926641";"SERVIÇO AUTONOMO DE ÁGUA E ESGOTO DE JACAREI";"Inválido";"01/01/1900";"31/01/2019";"0,00"
"000012019";"25387100432201891";"Objeto: Contratação da prestação de serviço de treinamento operacional dos operadores de produção no acompanhamento da fabricação de lote piloto na linha de granulação úmida do sistema Glatt a ser realizado por profissional especializado em Sistema de Granulação Úmida, Moagem e Secagem de pós em Leito Fluidizado.";"Inexigibilidade de Licitação";"Encerrado";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254446";"INSTITUTO DE TECNOLOGIA EM FARMACOS";"RIO DE JANEIRO";"01/01/1900";"";"17600,00"
"000042019";"00737014467201860";"Objeto: Aquisição de 5fr SPINRAZA 12MG/5ML";"Dispensa de Licitação";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250005";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"BRASILIA";"07/01/2019";"";"1043376,43"
"000962018";"708093/2018-83";"Objeto: Aquisição de materiais de consumo pra uso em polissonografia, da Unidade de Neurologia e Psiquiatria do CHC/UFPR.";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26241";"Universidade Federal do Paraná";"153808";"HOSPITAL DE CLINICAS DA UFPR";"CURITIBA";"14/01/2019";"";"18008,02"
"000422019";"plcsra000422019";"Objeto: Aquisição de Medidor triortogonal de juntas. Range: movimento vertical +/- 5,0mm, fechamento da trinca = +/- 5,0mm, abertura da trinca = +/- 10,0mm. para entrega na Usina de Funil, Itatiaia, RJ.";"Dispensa de Licitação";"Encerrado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"926128";"DIVISAO DE CENTRO DE SERV. COMPARTAILHADOS RJ";"Inválido";"01/01/1900";"";"13880,40"
"000302018";"63148005260201854";"Objeto: Aquisição de adaptador para cabo transmissor de luz, para uso com o sistema cirúrgico robótico Da Vinci.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"765720";"HOSPITAL NAVAL MARCILIO DIAS";"RIO DE JANEIRO";"22/01/2019";"";"34182,00"
